,id,algorithm,lower_bounds,upper_bounds,dfd_pdr,dfd_algorithm,mean_localisation_errors_pdr,mean_localisation_errors_algorithm,third_quantile_localisation_errors_pdr,third_quantile_localisation_errors_algorithm
35,14,AOE,80,150,0.2249477853867765,0.17432124582960962,8.950153390831712,7.6563688767398475,12.2049534768212,9.533671342084691
36,19,AOE,80,150,0.0596348610882763,0.08937670317905566,3.856370197033094,3.864155070968233,4.886944683492949,4.886944683492949
37,4,AOE,80,150,0.1352224224449558,0.163794544469204,6.240562257949761,6.707030395223707,8.742612809924573,9.010947942730064
38,2,AOE,80,150,0.7383483645600684,0.1478916456282167,19.51287082720274,7.010277261242001,33.78759191823704,9.23897005352755
39,5,AOE,80,150,0.19541346789072717,0.18968718254155423,7.070493755894075,6.975283423561187,12.788689590681088,12.597329135080138
40,3,AOE,80,150,0.13268935311318694,0.12580301364536908,4.015369378202639,3.942153664739343,5.860782865182081,5.532395559733118
41,1,AOE,80,150,0.27446629165365777,0.2709993591188725,10.317168875412948,10.158905135236138,17.72707672518522,17.321837467450475
42,7,AOE,80,150,0.20421457929777032,0.12823616959188855,8.013474509836767,7.932358138892725,13.213142214796884,12.709632148296874
43,18,AOE,80,150,0.133368599659097,0.133368599659097,4.003299687334457,4.003299687334457,6.160328796080773,6.160328796080773
44,6,AOE,80,150,0.11731535910593234,0.1732543823247199,5.7572002248098935,6.063822086860866,7.4605629384124965,7.60258900108483
45,16,AOE,80,150,0.07024152327204156,0.06271460199382074,2.9490392320159575,2.942843230076047,4.1025195074791085,4.1025195074791085
46,15,AOE,80,150,0.12629952699363642,0.12629952699363642,4.553098999485275,4.553098999485275,6.091459883724185,6.091459883724185
47,8,AOE,80,150,0.379986014831172,0.26613067868739543,9.267051237626399,7.461021804502215,13.39165480305109,9.455373276388848
48,13,AOE,130,160,0.03326718505462879,0.02807018246531297,1.4005738445885925,1.3900663434361749,1.8233862593207295,1.8233862593207295
49,10,AOE,130,160,0.38662010950624237,0.22216184889970866,12.95354045379269,12.82645021957367,20.913304519741033,20.846024437555087
50,17,AOE,130,160,0.05355347004177055,0.32744298903712427,2.4454904624953757,2.6521589888305663,3.2538225191566075,3.2538225191566075
51,14,AOE,130,160,0.2249477853867765,0.21990541634078248,8.950153390831712,8.939879219042632,12.2049534768212,12.2049534768212
52,19,AOE,130,160,0.0596348610882763,0.0714047272130588,3.856370197033094,3.8453674756168037,4.886944683492949,4.886944683492949
53,4,AOE,130,160,0.1352224224449558,0.12309114825614226,6.240562257949761,6.238059387454029,8.742612809924573,8.742612809924573
54,2,AOE,130,160,0.7383483645600684,0.6175610877997555,19.51287082720274,18.6013849509479,33.78759191823704,32.96762354990336
55,5,AOE,130,160,0.19541346789072717,0.18968718254155423,7.070493755894075,6.975283423579452,12.788689590681088,12.597329135080138
56,3,AOE,130,160,0.13268935311318694,0.2984834727764599,4.015369378202639,4.086024443714631,5.860782865182081,5.860782865182081
57,1,AOE,130,160,0.27446629165365777,0.2709993591188725,10.317168875412948,10.158905135236138,17.72707672518522,17.321837467450475
58,7,AOE,130,160,0.20421457929777032,0.12823616959188855,8.013474509836767,7.932358138890909,13.213142214796884,12.709632148296874
59,18,AOE,130,160,0.133368599659097,0.133368599659097,4.003299687334457,4.003299687334457,6.160328796080773,6.160328796080773
60,6,AOE,130,160,0.11731535910593234,0.11731535910593234,5.7572002248098935,5.7572002248098935,7.4605629384124965,7.4605629384124965
61,16,AOE,130,160,0.07024152327204156,0.06271460199382074,2.9490392320159575,2.942843230076047,4.1025195074791085,4.1025195074791085
62,15,AOE,130,160,0.12629952699363642,0.12629952699363642,4.553098999485275,4.553098999485275,6.091459883724185,6.091459883724185
63,8,AOE,130,160,0.379986014831172,0.3775454187583616,9.267051237626399,9.214335136225747,13.39165480305109,13.39165480305109
64,13,AOE,120,150,0.03326718505462879,0.02807018246531297,1.4005738445885925,1.3900663434361749,1.8233862593207295,1.8233862593207295
65,10,AOE,120,150,0.38662010950624237,0.22216184889970866,12.95354045379269,12.82645021957367,20.913304519741033,20.846024437555087
66,17,AOE,120,150,0.05355347004177055,0.048908694208457844,2.4454904624953757,2.429428201188342,3.2538225191566075,3.2538225191566075
67,14,AOE,120,150,0.2249477853867765,0.21990541634078248,8.950153390831712,8.936219328159833,12.2049534768212,12.2049534768212
68,19,AOE,120,150,0.0596348610882763,0.0714047272130588,3.856370197033094,3.8453674756168037,4.886944683492949,4.886944683492949
69,4,AOE,120,150,0.1352224224449558,0.12309114825614226,6.240562257949761,6.238059387454029,8.742612809924573,8.742612809924573
70,2,AOE,120,150,0.7383483645600684,0.35716301080791124,19.51287082720274,13.718771017479131,33.78759191823704,22.13368580809118
71,5,AOE,120,150,0.19541346789072717,0.18968718254155423,7.070493755894075,6.975283423579452,12.788689590681088,12.597329135080138
72,3,AOE,120,150,0.13268935311318694,0.2984834727773441,4.015369378202639,4.086024443715122,5.860782865182081,5.860782865182081
73,1,AOE,120,150,0.27446629165365777,0.2709993591188725,10.317168875412948,10.158905135236138,17.72707672518522,17.321837467450475
74,7,AOE,120,150,0.20421457929777032,0.12823616959188855,8.013474509836767,7.932358138890909,13.213142214796884,12.709632148296874
75,18,AOE,120,150,0.133368599659097,0.133368599659097,4.003299687334457,4.003299687334457,6.160328796080773,6.160328796080773
76,6,AOE,120,150,0.11731535910593234,0.23868775713908263,5.7572002248098935,5.802133946066738,7.4605629384124965,7.4605629384124965
77,16,AOE,120,150,0.07024152327204156,0.06271460199382074,2.9490392320159575,2.942843230076047,4.1025195074791085,4.1025195074791085
78,15,AOE,120,150,0.12629952699363642,0.12629952699363642,4.553098999485275,4.553098999485275,6.091459883724185,6.091459883724185
79,8,AOE,120,150,0.379986014831172,0.3722771366226893,9.267051237626399,9.161078765282472,13.39165480305109,13.39165480305109
80,13,AOE,20,120,0.03326718505462879,0.05264397673360102,1.4005738445885925,2.892768741595192,1.8233862593207295,4.192798936290567
81,10,AOE,20,120,0.38662010950624237,0.1567555923995071,12.95354045379269,7.178021310364133,20.913304519741033,8.828282234245282
82,17,AOE,20,120,0.05355347004177055,0.12912507595870049,2.4454904624953757,5.943911752887754,3.2538225191566075,10.476630164915157
83,14,AOE,20,120,0.2249477853867765,0.1640777789064642,8.950153390831712,7.864350907082117,12.2049534768212,12.845989335228497
84,19,AOE,20,120,0.0596348610882763,0.07634633349968788,3.856370197033094,2.022107037850432,4.886944683492949,2.676014909775427
85,4,AOE,20,120,0.1352224224449558,0.15977506983439957,6.240562257949761,6.573632246204455,8.742612809924573,8.768687827652244
86,2,AOE,20,120,0.7383483645600684,0.18171844505321771,19.51287082720274,7.278220332272056,33.78759191823704,9.938100670740523
87,5,AOE,20,120,0.19541346789072717,0.07214871652472839,7.070493755894075,3.5679401172798384,12.788689590681088,5.681488882818304
88,3,AOE,20,120,0.13268935311318694,0.11272242541097949,4.015369378202639,3.7380975733031327,5.860782865182081,5.523324865322102
89,1,AOE,20,120,0.27446629165365777,0.10029389837618854,10.317168875412948,4.161637065525499,17.72707672518522,6.796645707567623
90,7,AOE,20,120,0.20421457929777032,0.09686191842722591,8.013474509836767,4.159135252191485,13.213142214796884,5.584173462062074
91,18,AOE,20,120,0.133368599659097,0.1469603988215066,4.003299687334457,9.181902728312796,6.160328796080773,12.467970226236185
92,6,AOE,20,120,0.11731535910593234,0.16399179728179625,5.7572002248098935,6.731331546434448,7.4605629384124965,8.845619280218546
93,16,AOE,20,120,0.07024152327204156,0.11737442908860374,2.9490392320159575,3.9248974174391735,4.1025195074791085,5.788165210664076
94,15,AOE,20,120,0.12629952699363642,0.08343798334348425,4.553098999485275,3.6990534154967154,6.091459883724185,5.419915984110616
95,8,AOE,20,120,0.379986014831172,0.18523972977727626,9.267051237626399,7.110631719706951,13.39165480305109,9.79664743117506
96,13,AOE,90,160,0.03326718505462879,0.02807018246531297,1.4005738445885925,1.3900663434361749,1.8233862593207295,1.8233862593207295
97,10,AOE,90,160,0.38662010950624237,0.22216184889970866,12.95354045379269,12.82645021957367,20.913304519741033,20.846024437555087
98,17,AOE,90,160,0.05355347004177055,0.06525213607773639,2.4454904624953757,2.454475639905388,3.2538225191566075,3.2538225191566075
99,14,AOE,90,160,0.2249477853867765,0.1496550599210912,8.950153390831712,7.471150331924195,12.2049534768212,9.533671342084691
100,19,AOE,90,160,0.0596348610882763,0.06438059291953717,3.856370197033094,3.8345845769795885,4.886944683492949,4.886944683492949
101,4,AOE,90,160,0.1352224224449558,0.11624624909358838,6.240562257949761,5.632707051954015,8.742612809924573,7.731526991973006
102,2,AOE,90,160,0.7383483645600684,0.11703809568860093,19.51287082720274,7.9521583076590705,33.78759191823704,9.921001184333845
103,5,AOE,90,160,0.19541346789072717,0.18968718254155423,7.070493755894075,6.9752834235927175,12.788689590681088,12.597329135080138
104,3,AOE,90,160,0.13268935311318694,0.12580301364536908,4.015369378202639,3.942153664739343,5.860782865182081,5.532395559733118
105,1,AOE,90,160,0.27446629165365777,0.2709993591188725,10.317168875412948,10.158905135236138,17.72707672518522,17.321837467450475
106,7,AOE,90,160,0.20421457929777032,0.12823616959188855,8.013474509836767,7.932358138892725,13.213142214796884,12.709632148296874
107,18,AOE,90,160,0.133368599659097,0.133368599659097,4.003299687334457,4.003299687334457,6.160328796080773,6.160328796080773
108,6,AOE,90,160,0.11731535910593234,0.14846975225934536,5.7572002248098935,5.5622569395499415,7.4605629384124965,7.4605629384124965
109,16,AOE,90,160,0.07024152327204156,0.06271460199382074,2.9490392320159575,2.942843230076047,4.1025195074791085,4.1025195074791085
110,15,AOE,90,160,0.12629952699363642,0.12629952699363642,4.553098999485275,4.553098999485275,6.091459883724185,6.091459883724185
111,8,AOE,90,160,0.379986014831172,0.16627281247271222,9.267051237626399,6.522687568665966,13.39165480305109,8.598234378392117
112,13,AOE,40,50,0.03326718505462879,0.0739318179494264,1.4005738445885925,2.064180733511692,1.8233862593207295,1.8233862593207295
113,10,AOE,40,50,0.38662010950624237,0.2509699465419508,12.95354045379269,7.100995303787015,20.913304519741033,8.73540935224427
114,17,AOE,40,50,0.05355347004177055,0.12484645716255219,2.4454904624953757,2.5116893532540208,3.2538225191566075,3.2538225191566075
115,14,AOE,40,50,0.2249477853867765,0.10735169108281474,8.950153390831712,6.754021796532642,12.2049534768212,9.159286661911464
116,19,AOE,40,50,0.0596348610882763,0.09027780986993195,3.856370197033094,3.865668213310416,4.886944683492949,4.886944683492949
117,4,AOE,40,50,0.1352224224449558,0.1659917102273926,6.240562257949761,6.779813180640108,8.742612809924573,8.807980411243848
118,2,AOE,40,50,0.7383483645600684,0.1986204823635457,19.51287082720274,7.1806250007203065,33.78759191823704,9.246640352967255
119,5,AOE,40,50,0.19541346789072717,0.07214871652485813,7.070493755894075,2.9453687822110637,12.788689590681088,4.689410272673663
120,3,AOE,40,50,0.13268935311318694,0.08023086016469122,4.015369378202639,3.061850420352888,5.860782865182081,3.835161522530993
121,1,AOE,40,50,0.27446629165365777,0.10029389837618854,10.317168875412948,3.0029809711968776,17.72707672518522,5.036541318263288
122,7,AOE,40,50,0.20421457929777032,0.12358129028837135,8.013474509836767,4.135681768528082,13.213142214796884,5.310809448078958
123,18,AOE,40,50,0.133368599659097,0.09512418772196171,4.003299687334457,3.959612081816071,6.160328796080773,6.2536328288825995
124,6,AOE,40,50,0.11731535910593234,0.14000538008128705,5.7572002248098935,7.541742167438247,7.4605629384124965,10.76717845149647
125,16,AOE,40,50,0.07024152327204156,0.05304894282368127,2.9490392320159575,3.353339704305844,4.1025195074791085,3.644482632031815
